id,premise,hypothesis,label,attacked_hypothesis,generator
120,"이 24명 중 재판 전에 자살한 로베르트 라이 , 병으로 심리가 정지된 구스타프 크루프 폰 보흘렌 운트 할바흐 의 경우 재판이 진행되지 않았다.",로베스트 라이는 재판 전에 자살하여 재판이 진행되지 않았다.,0,로베르트 라이가 스스로 목숨을 끊어 재판은 열리지 않았다.,clova
121,"적발 시 만기를 연장하지 않거나 조기 상환을 요구해 자금을 회수하는 것은 물론, 일정 기간 신규 대출을 금지하는 불이익을 줄 예정이다.",적발되면 만기를 연장하지 않거나 조기 상환을 요구하여 자금을 회수할 예정이다.,0,적발 시에는 만기의 연장을 거부하거나 조기에 상환하도록 하여 자금을 환수하려 한다.,clova
122,"예를 들어, 군함도 대책위원회를 만들고 민간전문가의 의견을 수렴해서 정부 측과 민간 차원에서 나아갈 방향을 정할 필요가 있습니다.",민간전문가의 의견을 수렴하지 말고 정부 단독으로 나아갈 방향을 정해야 합니다.,2,"정부는 독자적으로 나아갈 길을 정하고, 민간 전문가의 의견은 수용하지 않아야 합니다.",clova
123,김정태 애들립 대사 빼고는 인상적인 면이 없는 영화,김정태 애드립 대사가 인상적인 영화.,0,김정태의 애드립 대사가 기억에 남는 작품이다.,clova
124,스티그는 덩클맨의 집에 하숙하게 된다.,덩클맨은 스티그의 하숙을 반가워하지 않는다.,1,덩클맨이 기쁘게 여기지 않는 것은 스티그의 하숙이다.,clova
125,중앙방송사 춘천국 신입사원 윤승조는 보신탕집인 싸릿집 셋째 딸 오정희를 첫눈에 보고 반한다.,윤승조는 오정희를 보고도 아무 감정이 들지 않았다.,2,윤승조는 오정희를 보고서도 별다른 감정을 느끼지 못했다.,clova
126,"소련점령지역에서는 정확히 알려진 바는 없지만 1950년까지 13,532명이 유죄판결을 받았다는 한 통계가 있다.",이 통계도 조작의 흔적이 발견되었다.,1,이 데이터 역시 조작된 정황이 포착되었다.,clova
127,그린 아메리카는 우선 대형 초콜릿 제조업체들을 대상으로 설득작업을 벌이고 있습니다.,그린 아메리카는 소형 제조업체만 설득하는 중이다.,2,그린 아메리카가 오직 소규모 생산 업체들에게만 설득력을 행사하고 있다.,clova
128,또 다시 싱가포르에 온다면 머물거에요.,매년 싱가포르에 오고있어요.,1,매년 싱가포르를 방문하고 있습니다.,clova
129,"한편 광양시에는 현재 어린이보호구역 123개소, 노인보호구역 4개소, 장애인보호구역 1개소 등 총 128개소가 보호구역으로 지정돼 관리되고 있다.",광양시에만 장애인보호구역이 있다.,1,광양시에만 존재하는 것이 장애인 보호 구역이다.,clova
130,호스트 분이 정말 친절하시고 배려가 넘칩니다.,호스트 분이 너무 짜증났습니다.,2,호스트가 굉장히 성가셨습니다.,clova
131,배우들의 연기와 음악 영상이 너무 좋아요,배경음악이 너무나 감미로웠어요.,1,배경에 흐르는 음악이 매우 달콤했답니다.,clova
132,학생들이 평생교육 단과대학 사업 철회 및 총장 사퇴를 요구하며 본관 점거 농성을 시작한 지 84일만이다.,학생들의 총장 사퇴 요구가 받아들여졌다.,1,총장 사임에 대한 학생들의 요구사항이 수용되었다.,clova
133,"정부는 올해 1월 소유권을 확보한 후 국민개방을 위해 전체 18개 동 중 5개 동을 전시공간, 오픈하우스, 자료실, 토론공간, 카페 등으로 개조했다.",정부는 소유권을 올해 1분기에 확보했다.,0,정부는 금년도 제1사분기에 소유권 취득에 성공하였다.,clova
134,아울러 사업을 통해 오염물질 저감은 물론 비용절감과 생산성 향상에도 기여하는 등 사업장 입장에서도 일석이조의 효과가 예상된다.,사업을 통하면 비용은 늘어난다.,2,사업을 이용하면 지출이 증가한다.,clova
135,고대 그리스와 로마 제국에서는 레슬링 교습을 위한 파래스트라 안에 훈련을 위해 수영장을 만들었다.,고대 그리스와 로마 제국에는 레슬링을 가르치지않았다.,2,고대 그리스와 로마 시대에는 레슬링이 교육되지 않았다.,clova
136,"근처 마트도 위치하여, 장보기도 편합니다.",근처에 편의시설이 없어서 장보기가 불편합니다.,2,주변에 편의시설 부족으로 인해 식료품 구매가 어렵습니다.,clova
137,"백종원의 빵집, 카이막집이 매우 가깝습니다.",카이막집이 가까이 있지 않습니다.,2,카이막을 파는 가게가 근처에 존재하지 않습니다.,clova
138,바르바라는 부동산 직원 줄리앙 베르셀의 비서이다.,줄리앙 베르셀은 부동산 직원이다.,0,부동산 업계에서 일하는 사람은 바로 줄리앙 베르셀이다.,clova
139,이재갑 고용노동부장관이 지난 3월 12일 오후 특별연장근로제를 활용하고 있는 의료기기 업체인 강원 원주시 메디아나에서 간담회를 열고 인사말을 하고 있다.,강원 원주시 메디아나는 오후 특별연장근로제를 실시하고 있다.,0,강원도 원주시에 위치한 메디아나 기업은 오후에 특별히 연장근로를 진행 중이다.,clova
140,그들은 밤새 늪지대와 사막을 달리다 다음날 도움을 요청하는 어느 나체의 여성과 마주친다.,그들은 늪지대와 사막에서 아무와도 마주치지 못한다.,2,그들은 어떤 이도 만나지 못한 채로 습지와 사막을 배회한다.,clova
141,"그리고 2013년 2월 7일, 한국어판 위키배움터 사이트가 공식적으로 열리게 되었다.",위키배움터 사이트는 오직 영어판만 있다.,2,위키배움터는 오직 영문판으로만 존재한다.,clova
142,아 진짜 재미없어 다시는 이감독영화안본다.,이 감독 영화 찾아 볼 것이다.,2,이 감독이 만든 영화를 감상할 예정이다.,clova
143,연구현장 의견을 반영해 운영될 수 있도록 자체 관리 체계 마련하고 소재 이용자 실비 부담 원칙을 통해 소재자원은행 운영의 안정성을 강화한다.,소재 이용자 실비 부담 원칙과 소재자원 은행 운영의 안정성은 아무런 관련도 없다.,2,소재 자원 은행이 운영되어도 이용자의 실비 부담은 여전히 유지되어야 한다.,clova
144,전형적인 희극은 대체로 오해와 시련의 과정을 거쳐서 그것이 해결되면 사랑하는 연인들이 짝을 이루게 되는 것으로 끝이 난다.,전형적인 희극은 대체로 오해와 시련의 과정 없이 사랑이 이루어지지 않는 것으로 끝이 난다.,2,일반적으로 희극 작품에서는 오해나 고난 없는 사랑 성취로 결말이 맺히지 않는다.,clova
145,"이에 힘입어 위키백과의 나훈아 항목도 9월 동안 68,722 회의 페이지뷰를 기록하며 9위에 올랐다.",위키백과의 나훈아 항목이 10위 내에 든 것은 두 번째이다.,1,나훈아 관련 내용이 위키피디아에서 10등 안에 포함된 것이 이번으로 두 번이다.,clova
146,한미 국방부는 범세계적인 전염병 대유행에 대처하기 위해 지속적으로 긴밀히 협력해 나갈 것입니다.,한미 국방부는 범세계적인 전염병 대유행에 가장 적극적으로 대처하고 있습니다.,1,전 세계적 전염병 팬데믹 상황에 대해 한미 국방부가 가장 적극적으로 대응하고 있다.,clova
147,앞으로 다시는 이런 명품액션사극을 티비에서는 볼수 없을 것이다.,앞으로 명품액션사극은 티비에서만 볼 수 있을 것이다.,2,앞으로는 텔레비전 통해서만 고급스러운 액션 사극 시청 가능할 예정이다.,clova
148,지중화사업은 거미줄처럼 얽혀 있는 전선과 전신주를 지하화하여 도시 이미지를 제고하고 구도심의 도로환경을 개선하는 사업이다.,지중화 사업은 1년간 추진할 예정이다.,1,지중화 프로젝트는 앞으로 12개월 동안 진행될 계획이다.,clova
149,다소 지루한면도 있긴 해도 아름다운 영화다,지루하지만 잔잔한 감동이 있는 영화다.,1,잔잔하게 감동적인 동시에 지루함을 느끼게 만드는 영화이다.,clova
150,프레드가 8강전까지 1골밖에 못 넣은 이상 그를 계속 기용하는 건 백년하청이나 다름없다.,프레드가 4강전부터 활약할 가능성은 낮다.,0,프레드는 4강전부터 출전할 확률이 적어 보인다.,clova
151,모창 능력자들은 양희은 씨를 연상하게 하는 목소리로 판정단을 혼란스럽게 했다.,모창 능력자들은 양희은 씨와 비슷한 목소리를 냈으나 판정단은 아무도 혼란스러워하지 않았다.,2,"양희은 씨와 흡사한 음성을 구사하는 모창 실력자들이 있었음에도, 심사위원들은 전혀 당황하지 않았다.",clova
152,"시설, 청결도, 위치 다 너무 좋았네요.",좋은 것은 위치뿐이었습니다.,2,위치만이 좋았을 뿐입니다.,clova
153,이와 같은 이유로 사고가 발생했을 경우 큰 위험에 처할 수도 있는 상황이다.,사고가 발생했을 경우 큰 위험에 처하지 않을 수도 있는 상황이다.,2,사고가 나더라도 크게 위험한 상황에 처할 가능성이 없는 상태다.,clova
154,요즘 생각과 고민이 많았는데 힘이 된 영화,생각과 고민을 정리해준 영화.,1,생각과 고민을 깔끔히 정돈해주는 영화.,clova
155,영화가 끝날무렵 기분좋은 미소와 흐르는 눈물 을 닦았다.,기분좋은 미소와 눈물이 영화가 끝날무렵 흘러나왔다.,0,"영화가 끝나갈 즈음에는 행복감을 주는 미소도, 그리고 눈물도 나왔다.",clova
156,각 기수별 모집 정원은 50명 이내다.,각 기수는 추가로 5명을 더 모집한다.,1,각 팀마다 인원을 5명씩 더 충원할 예정이다.,clova
157,다만 엘레베이터가 없어서 매우 힘듭니다,엘레베이터만 없습니다.,1,엘리베이터를 제외하고는 모두 있습니다.,clova
158,위치도 공항이용할 사람인 저한테 최적이었구요.,저에게 최적인 위치가 아니었어요.,2,저에게는 가장 적합한 장소가 아니었습니다.,clova
159,어떻게든 조용히 다람쥐를 빼내려던 그는 다급히 남자를 깨워 다람쥐가 몸 안에 붙어있으니 절대로 소리 지르거나 움직이지 말라고 한다.,그는 조용히 다람쥐를 빼내려고 한다.,0,그는 조심스럽게 다람쥐를 꺼내고자 한다.,clova
160,이루어질수없는 사랑은 아름다운법내가 한때 좋아했던 여자가 추천해준 영화,내 첫사랑이 추천해준 영화.,1,내 초애가 권장한 작품.,clova
161,"지금까지 달 외에 지구를 도는 다른 위성은 발견되지 않았으나, 지구와 일대일 궤도 공명에 있는 준위성과 같은 지구 접근 천체는 여러 개 존재한다.",준위성은 행성을 따라 공전하지 않는다.,1,준위성은 스스로 궤도를 돌며 행성에 끌려다니지 않습니다.,clova
162,건물자체에 매일 상주하시는 직원분이 계셨구요,건물에는 상주하는 직원이 계셨어요.,0,그 건물 안에는 항상 머무르는 직원이 존재했습니다.,clova
163,상처를 2명이나 주게 된 꼴이 된것.,한명 이상에게 상처를 주게 된 꼴이 된것.,0,최소한 한 명 이상의 사람에게 아픔을 준 상황이 되어버렸다.,clova
164,네이든은 집에서 쿄코라는 영어 못하는 하녀와 함께 지내고 있었다.,네이든의 하녀는 영어를 못한다.,0,네이든이 고용한 가정부는 영어 실력이 부족하다.,clova
165,온수탱크를 사용하기때문에 따뜻한 물을 아껴써야합니다.,따뜻한 물을 펑펑 쓸 수 있습니다.,2,뜨거운 물을 마음껏 사용할 수 있습니다.,clova
166,부평소방서는 10일 오후 2시 부평구 부평동 소재 부평래미안아파트에서 고층 건축물 현장대응력 강화를 위한 소방훈련을 실시했다.,부평소방서는 고층 건축물 현장대응력 강화를 위한 소방훈련을 실시했다.,0,부평소방서가 실시한 것은 고층 건물 현장에서의 대응 능력을 강화하기 위한 훈련이다.,clova
167,이 영화를 다시 개봉해서볼수있다는점이 큰 기쁨이었습니다,이 영화를 재개봉해서 다시 볼 수 있다는 점이 큰 기쁨이었습니다.,0,다시 상영하는 이 영화로 인해 커다란 기쁨을 느꼈습니다.,clova
168,셰필드의 창단은 원시적이던 당시의 축구를 현대 축구로 발전시키는 하나의 계기였다는 점에서 의의가 있다.,축구 클럽은 축구를 발전시킨다.,1,축구 발전에는 축구 클럽이 기여한다.,clova
169,당분간 지구와 달이 가까워지는 천문조 현상으로 바닷물이 높아 서해안과 남해안 저지대는 만조 때 침수 피해에 유의해야겠다.,지구와 달이 가까워지는 천문조 현상은 일정 주기마다 반복된다.,1,천체의 조석 현상이란 일정한 주기로 지구와 달이 근접해지는 것으로 반복해서 일어난다.,clova
